,Region,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Primary Category,Venue Address,Venue Categories,Venue Likes,Venue Rating,Venue Is Open
43,Shevchenkivskyi,Teahouse,551cfd1c498e614682910aac,48.46497252982586,35.04386734731413,Tea Room,"['вул. Короленка, 1 (просп. Дмитра Яворницького)', 'Дніпро', 'Україна']",['Tea Room'],131,9.0,
44,Shevchenkivskyi,Holy Bun,5a1d433a89e49031248b008a,48.46481530113186,35.043726439427886,Bakery,"['вул. Короленко, 1', 'Дніпро, 49000', 'Україна']","['Bakery', 'Coffee Shop']",108,8.9,False
45,Shevchenkivskyi,Silpo,5d73bfaa30a199000899f0de,48.467456,35.036927,Supermarket,"['7 Андрія Фабра вулиця', 'Дніпро', 'Україна']",['Supermarket'],5,8.5,
46,Shevchenkivskyi,Bar Acacia,5c7b02c2f8cbd4002c4eaa5e,48.466028,35.045736,Bar,"['Ценьральная Улица, 16', 'Dnipro', 'Україна']",['Bar'],12,8.4,
47,Shevchenkivskyi,Varburger,55c9de1b498e8149db655ef6,48.46359639771805,35.04612688718384,Burger Joint,"['пл. Героїв Майдану, 1', 'Дніпро', 'Україна']",['Burger Joint'],887,8.7,False
48,Shevchenkivskyi,DoubleDecker Cake & Coffee,5036220fe4b025c29f6c7cc3,48.463480384198355,35.04893694945091,Dessert Shop,"['просп. Дмитра Яворницького, 46', 'Дніпро, 49000', 'Україна']","['Dessert Shop', 'Coffee Shop', 'Bakery']",1742,9.0,False
49,Shevchenkivskyi,Мыши Бляхера  / Mishi Blyahera (Миші Бляхера),4c76b7c4b4b4b60cf05f250e,48.46428720862639,35.048757791519165,Modern European Restaurant,"[""просп. Дмитра Яворницького, 46 (вул. В'ячеслава Липинського)"", 'Дніпро, 49000', 'Україна']",['Modern European Restaurant'],1684,8.7,False
50,Shevchenkivskyi,Old Pal,576433e4498e141ecb99343a,48.46167797158495,35.048316927794716,Cocktail Bar,"['вул. Січових Стрільців, 3-А', 'Дніпро', 'Україна']",['Cocktail Bar'],380,9.2,False
51,Shevchenkivskyi,White Coffeebar,5923e7eb356b4941964914f1,48.46205075531327,35.048773397590054,Coffee Shop,"['вул. Січових Стрільців, 1а (просп. Дмитра Яворницького)', 'Дніпро, 49044', 'Україна']",['Coffee Shop'],257,9.2,False
52,Shevchenkivskyi,Времена Года,51c2d011498e5eae00240e7c,48.46602545303121,35.03381171013954,Food Truck,"['вул. Комсомольська, 52', 'Дніпро', 'Україна']","['Food Truck', 'Coffee Shop']",22,8.5,
53,Shevchenkivskyi,Супкультура,5985dfae123a191137615c43,48.46670719851705,35.04858283604788,Soup Place,"['вул. Європейська, 8а', 'Дніпро́, 49000', 'Україна']",['Soup Place'],31,8.3,False
54,Shevchenkivskyi,Кеды Искусствоведа,5980b573e7a2373f3e3cfde4,48.46273374889434,35.04657675865955,Pub,"['вул. Михайла Грушевського, 4', 'Дніпро', 'Україна']",['Pub'],210,8.5,False
55,Shevchenkivskyi,Object Coffee,586150053e9dfb1137314361,48.461605006868275,35.04800052649582,Coffee Shop,"['вул. Шевченка, 36 (вул. Січових Стрільців)', 'Дніпро', 'Україна']",['Coffee Shop'],146,8.8,False
56,Shevchenkivskyi,Mister Cat,5a21bf8f2a7ab64dffc46d2d,48.465156,35.046133,Pizza Place,"['просп. Дмитра Яворницького, 52', 'Дніпро́, 49000', 'Україна']",['Pizza Place'],394,8.2,True
57,Shevchenkivskyi,Франс.уа,55c47729498ea57359526db4,48.46666463826952,35.04628608808086,Bakery,"['вул. Глінки, 24 (вул. Володимира Мономаха)', 'Дніпро, 49000', 'Україна']",['Bakery'],329,8.1,True
58,Shevchenkivskyi,Три бобри,5440c44a498ef1ca788ae19c,48.462471206475506,35.050406642706776,Coffee Shop,"['просп. Дмитра Яворницького, 42 (вул. Січових Стрільців)', 'Дніпро, 49000', 'Україна']",['Coffee Shop'],637,8.7,False
59,Shevchenkivskyi,Репортер / Reporter,4c99d3c13bc3199cb32cad62,48.46202263136751,35.05147359146453,Eastern European Restaurant,"['вул. Барикадна, 2 (просп. Дмитра Яворницького)', 'Дніпро', 'Україна']","['Eastern European Restaurant', 'Breakfast Spot']",1240,8.9,True
60,Shevchenkivskyi,I Feel Espresso Bar,58f107ba829b0c25eb12734d,48.46596677849821,35.050952829275055,Café,"['вул. Глинки, 7', 'Дніпро, 49000', 'Україна']","['Café', 'Coffee Shop', 'Dessert Shop']",177,8.4,False
61,Shevchenkivskyi,Паб «Три ноги»,53be997f498ef20ed96bfc7c,48.464022,35.05234,Gastropub,"['вул. Магдебурзького права, 3-А (вул. Шолом-Алейхема)', 'Дніпро, 49000', 'Україна']","['Gastropub', 'Pub']",588,8.7,False
62,Shevchenkivskyi,TeaHouse,50c98aece4b020a11e3d4da0,48.464362477237856,35.05384291645843,Tea Room,"['ЕМК «Менора» (вул. Шолом-Алейхема, 4/26)', 'Дніпро', 'Україна']","['Tea Room', 'Coffee Shop']",22,8.6,False
63,Shevchenkivskyi,High Hill,5891ec5e2f91cb092bf4a9fd,48.462613272881455,35.05206019717047,Coffee Shop,"['вул. Барикадна, 5/7', 'Дніпро́, 49000', 'Україна']",['Coffee Shop'],81,8.5,False
64,Shevchenkivskyi,Atelier No5,582e436fa598b363197f7315,48.46244175935763,35.046195766391335,Coffee Shop,"['вул. Михайла Грушевського, 4-А (вул. Шевченка)', 'Дніпро', 'Україна']","['Coffee Shop', 'Tailor Shop']",97,8.1,False
65,Shevchenkivskyi,Le Grill,5160321ce4b00d989d5ed3a1,48.460546571735044,35.05007614140686,BBQ Joint,"['бул. Катеринославський, 1', 'Дніпро, 49000', 'Україна']","['BBQ Joint', 'Steakhouse']",351,8.6,False
66,Shevchenkivskyi,Patisserie,58b36be301f077619871f83c,48.46077447600168,35.0506567955017,Dessert Shop,"['бул. Катеринославський, 1', 'Дніпро', 'Україна']",['Dessert Shop'],9,8.5,
67,Shevchenkivskyi,Чебуречна №1,54f727ef498eb5e3841643e8,48.46301815549726,35.041401450738306,Café,"['вул. Короленка, 10', 'Дніпро', 'Україна']",['Café'],376,7.9,
68,Shevchenkivskyi,TWINS bar,5bb903172bf29b002d3eca1d,48.46253048070951,35.05062819435449,Cocktail Bar,"['ул. Дмитрия Яворницкого, 40', 'Дніпро', 'Україна']",['Cocktail Bar'],30,8.2,True
69,Shevchenkivskyi,Top Waffle,5b7d6c181fa763002c41af04,48.46652,35.049637,Bakery,"['ул. Харьковская, 15 (ул. Глинки - ул. Харьковская)', 'Дніпро́, 49000', 'Україна']","['Bakery', 'Fast Food Restaurant', 'Café']",7,7.9,False
70,Shevchenkivskyi,Puri Chveni,585ec25beef5da0d3a318363,48.46138378898875,35.047671319986385,Caucasian Restaurant,"['вул. Січових Стрільців, 4 (вул. Шевченка)', 'Дніпро, 49044', 'Україна']",['Caucasian Restaurant'],281,8.2,False
71,Shevchenkivskyi,Oz Kava,5d025807e075500039b19d6c,48.462293,35.043556,Coffee Shop,"['вул. Троїцька 3а', 'Dnipro', 'Україна']",['Coffee Shop'],7,8.0,
72,Shevchenkivskyi,SOHO restaurant & bar,5a0ee15fa22db756daf78682,48.460866397377146,35.05123331963816,Restaurant,"['проспект Дмитра Яворницького, 47А', 'Дніпро, 49000', 'Україна']",['Restaurant'],81,8.3,False
73,Shevchenkivskyi,В Главных Ролях,5d3c80012a367f000844e3f7,48.463461,35.05067,Gastropub,"['Mahdeburzkoho Prava Street, 2a', 'Dnipro, 49000', 'Україна']","['Gastropub', 'Modern European Restaurant']",13,8.1,
74,Shevchenkivskyi,Хінкальня,585913e6debdf65d6443ca92,48.46734257639446,35.05030387274904,Caucasian Restaurant,"['вул. Глінки, 2', 'Дніпро', 'Україна']",['Caucasian Restaurant'],13,7.9,False
75,Shevchenkivskyi,Black Sheep,58eb5ff4a4367c18bbf5f365,48.462107,35.048979,Ramen Restaurant,"['вул. Січових Стрільців, 1а', 'Дніпро, 49000', 'Україна']","['Ramen Restaurant', 'Noodle House']",230,8.0,False
76,Shevchenkivskyi,SiSi Italian,5d5adf5f4feb4e000823d730,48.468441,35.056266,Italian Restaurant,"['Сичеславская Набережная, 37', 'Дніпро', 'Україна']",['Italian Restaurant'],9,8.2,
77,Shevchenkivskyi,Schrödinger Сafe (Schrödinger),576d7e21498e21f501483082,48.46408756384752,35.04819245112173,Modern European Restaurant,"['просп. Дмитра Яворницького, 46', 'Дніпро', 'Україна']","['Modern European Restaurant', 'Café']",245,7.8,False
