,Region,Venue,Venue ID,Venue Latitude,Venue Longitude,Venue Primary Category
103,Shevchenkivskyi,Varburger,55c9de1b498e8149db655ef6,48.46359639771805,35.04612688718384,Burger Joint
104,Shevchenkivskyi,Boomerang / Бумеранг,4f4775b6e4b0e7e90d6bffa8,48.469613986926824,35.04923880816289,Board Shop
105,Shevchenkivskyi,DoubleDecker Cake & Coffee,5036220fe4b025c29f6c7cc3,48.463480384198355,35.04893694945091,Dessert Shop
106,Shevchenkivskyi,Крик / Krik,4d3591cc72a8b1f7977fbad0,48.462676829096,35.046732906380555,Theater
107,Shevchenkivskyi,Мыши Бляхера  / Mishi Blyahera (Миші Бляхера),4c76b7c4b4b4b60cf05f250e,48.46428720862639,35.048757791519165,Modern European Restaurant
108,Shevchenkivskyi,Old Pal,576433e4498e141ecb99343a,48.46167797158495,35.048316927794716,Cocktail Bar
109,Shevchenkivskyi,White Coffeebar,5923e7eb356b4941964914f1,48.46205075531327,35.048773397590054,Coffee Shop
110,Shevchenkivskyi,Музей українського живопису,526103c911d22a80cde52d58,48.46301552560667,35.044705199123676,Art Museum
111,Shevchenkivskyi,Времена Года,51c2d011498e5eae00240e7c,48.46602545303121,35.03381171013954,Food Truck
112,Shevchenkivskyi,Супкультура,5985dfae123a191137615c43,48.46670719851705,35.04858283604788,Soup Place
113,Shevchenkivskyi,Кеды Искусствоведа,5980b573e7a2373f3e3cfde4,48.46273374889434,35.04657675865955,Pub
114,Shevchenkivskyi,Object Coffee,586150053e9dfb1137314361,48.461605006868275,35.04800052649582,Coffee Shop
115,Shevchenkivskyi,Mister Cat,5a21bf8f2a7ab64dffc46d2d,48.465156,35.046133,Pizza Place
116,Shevchenkivskyi,Фонтан «Сфера» / Sphere Fountain,4fa220eee4b0bd954eb0ddbb,48.472713168380224,35.04269323226073,Fountain
117,Shevchenkivskyi,Франс.уа,55c47729498ea57359526db4,48.46666463826952,35.04628608808086,Bakery
118,Shevchenkivskyi,Катеринославський бульвар / Katerynoslavsky boulevard (Катеринославський бульвар),4e205fa5ae6015b2129a5939,48.46090212251527,35.05015895197577,Pedestrian Plaza
119,Shevchenkivskyi,Сквер Героїв / Public Garden of Heroes (Сквер Героїв),4cc16d0bf4448cfacb7d5698,48.46566111027961,35.03220961835935,Park
120,Shevchenkivskyi,Три бобри,5440c44a498ef1ca788ae19c,48.462471206475506,35.050406642706776,Coffee Shop
121,Shevchenkivskyi,Репортер / Reporter,4c99d3c13bc3199cb32cad62,48.46202263136751,35.05147359146453,Eastern European Restaurant
122,Shevchenkivskyi,Le Silpo,4f9bb87fe4b060642f046520,48.46073630402192,35.05019630325291,Gourmet Shop
123,Shevchenkivskyi,I Feel Espresso Bar,58f107ba829b0c25eb12734d,48.46596677849821,35.050952829275055,Café
124,Shevchenkivskyi,Паб «Три ноги»,53be997f498ef20ed96bfc7c,48.464022,35.05234,Gastropub
125,Shevchenkivskyi,"Антикафе ""Место""",56801f8c498e18e105c809ab,48.46682575883421,35.046266423067514,Arcade
126,Shevchenkivskyi,Fit4You,553b6929498e67b88596c1f3,48.464877865793724,35.04324197876661,Gym
127,Shevchenkivskyi,Настолкино,57557a23498e7cf9fa5faa09,48.46556244596125,35.05181296538572,Toy / Game Store
128,Shevchenkivskyi,Onur Bakery,5c9774d59cadd9002c21441a,48.46830886317628,35.038178461145584,Coffee Shop
129,Shevchenkivskyi,Massimo Dutti,508acbe3e4b09898c6f16c38,48.466687479153514,35.05067117900926,Boutique
130,Shevchenkivskyi,Художественная Мастерская Lilii Stepanovoy,54ce087f498ed2bdfc5b4dad,48.46639116069071,35.05502119828635,Art Gallery
131,Shevchenkivskyi,TeaHouse,50c98aece4b020a11e3d4da0,48.464362477237856,35.05384291645843,Tea Room
132,Shevchenkivskyi,High Hill,5891ec5e2f91cb092bf4a9fd,48.462613272881455,35.05206019717047,Coffee Shop
133,Shevchenkivskyi,Дніпро-Арена / Dnipro-Arena (Дніпро-Арена),4d7ba1ea86cfa143a453b8a0,48.46036538247453,35.03244459629059,Soccer Stadium
134,Shevchenkivskyi,Crossfit Factory,59c34ac6c8b2fb02a2ecced2,48.4598920699974,35.036236695713335,Gym / Fitness Center
135,Shevchenkivskyi,Atelier No5,582e436fa598b363197f7315,48.46244175935763,35.046195766391335,Coffee Shop
136,Shevchenkivskyi,SOHO Fitness & SPA,544baf03498e45ba2fdb6697,48.461135740819394,35.05080188291372,Spa
137,Shevchenkivskyi,Monkey Shop,50d072a4e4b0a6c927649344,48.46198039338892,35.05013108253479,Mobile Phone Shop
138,Shevchenkivskyi,Blades,5662f50e38fa1e55a60e7e68,48.46063157074181,35.053945425219624,Salon / Barbershop
139,Shevchenkivskyi,Le Grill,5160321ce4b00d989d5ed3a1,48.460546571735044,35.05007614140686,BBQ Joint
140,Shevchenkivskyi,Січеславська Набережна,4da8b794f7b12d2d9a1234d0,48.46873308130554,35.05656916782112,Waterfront
141,Shevchenkivskyi,Reikartz,4dd64f1152b1a5c6442f90d6,48.461396205949775,35.04213481875465,Hotel
142,Shevchenkivskyi,Джайпур,4e75e0861495be51714f2764,48.474489648909135,35.02883180587649,Gym / Fitness Center
143,Shevchenkivskyi,The Atelier,55801473498e60503157083a,48.470149262167844,35.04943712208916,Coffee Shop
144,Shevchenkivskyi,Fit4You,4df34d0fb61cbd3ec01a9790,48.46766453849527,35.04535675048828,Gym
145,Shevchenkivskyi,Мост-Сіті центр / Most-City Center (Мост-Сіті Центр),4bc885700050b713b97eba3b,48.466945,35.051128,Shopping Mall
146,Shevchenkivskyi,Patisserie,58b36be301f077619871f83c,48.46077447600168,35.0506567955017,Dessert Shop
147,Shevchenkivskyi,Чебуречна №1,54f727ef498eb5e3841643e8,48.46301815549726,35.041401450738306,Café
148,Shevchenkivskyi,TWINS bar,5bb903172bf29b002d3eca1d,48.46253048070951,35.05062819435449,Cocktail Bar
149,Shevchenkivskyi,CAN.UA,4e1c1a5c81306017a4cd5dab,48.46162367523967,35.043441096285754,Electronics Store
150,Shevchenkivskyi,Cascade Plaza,4f9a4575e4b0de626650a956,48.460567079615124,35.049984044851534,Shopping Mall
151,Shevchenkivskyi,Top Waffle,5b7d6c181fa763002c41af04,48.46652,35.049637,Bakery
152,Shevchenkivskyi,Менора / מנורה / Menorah (Менора),4f941519e4b04c3ffa453de1,48.463887036166945,35.05330681800842,Cultural Center
153,Shevchenkivskyi,Puri Chveni,585ec25beef5da0d3a318363,48.46138378898875,35.047671319986385,Caucasian Restaurant
154,Shevchenkivskyi,Oz Kava,5d025807e075500039b19d6c,48.462293,35.043556,Coffee Shop
155,Shevchenkivskyi,Взаперти,54688b00498e96205f65abe9,48.462246,35.05654,Arcade
156,Shevchenkivskyi,"Вільний простір ""Риба Андрій"" / Ryba Andriy",505eee3764a4087310b44aa5,48.46963814838264,35.0424538929283,Hostel
157,Shevchenkivskyi,SOHO restaurant & bar,5a0ee15fa22db756daf78682,48.460866397377146,35.05123331963816,Restaurant
158,Shevchenkivskyi,Pa-Si-Ju,558cfeb5498e6a17da7dfe6f,48.47324938101741,35.02912513492513,French Restaurant
159,Shevchenkivskyi,В Главных Ролях,5d3c80012a367f000844e3f7,48.463461,35.05067,Gastropub
160,Shevchenkivskyi,Хінкальня,585913e6debdf65d6443ca92,48.46734257639446,35.05030387274904,Caucasian Restaurant
161,Shevchenkivskyi,Арт-центр «Квартира»,4cdc261d4006a14364e2dcb2,48.4636519646036,35.04304308129135,Performing Arts Venue
162,Shevchenkivskyi,Black Sheep,58eb5ff4a4367c18bbf5f365,48.462107,35.048979,Ramen Restaurant
163,Shevchenkivskyi,Aromateque,539995df498ed490cdd50d97,48.46056868469314,35.05000330255302,Perfume Shop
164,Shevchenkivskyi,SiSi Italian,5d5adf5f4feb4e000823d730,48.468441,35.056266,Italian Restaurant
165,Shevchenkivskyi,Schrödinger Сafe (Schrödinger),576d7e21498e21f501483082,48.46408756384752,35.04819245112173,Modern European Restaurant
166,Shevchenkivskyi,MasterZoo XL,4f2e7b8ee4b006ef9a2fadff,48.46373172481681,35.02830052706116,Pet Store
167,Shevchenkivskyi,Newport Hotel,567b1de9498ec3e88eb60368,48.468525476199986,35.02799045507033,Hotel
168,Shevchenkivskyi,Winovnik,5aeb8620947c0500396bb6dd,48.46240569196239,35.049660082603985,Wine Bar
169,Shevchenkivskyi,Зе Румс,5675425d498edfae4eecf5f6,48.46292308908625,35.05401931839625,Modern European Restaurant
170,Shevchenkivskyi,Біла Стріла,5ab0fd37b9ac387ddca36566,48.45987015610638,35.054043900463604,Coffee Shop
171,Shevchenkivskyi,JYSK,51617f8f72da2e608edb8803,48.469510095600235,35.052428801116925,Furniture / Home Store
172,Shevchenkivskyi,Львівська майстерня шоколаду / Lviv Handmade Chocolate,50350028e4b045eebb4b8c65,48.46322763263427,35.048293566825926,Chocolate Shop
173,Shevchenkivskyi,Європейська площа,4db040824b22ba776d6c2947,48.464930902245975,35.04736660834163,Plaza
174,Shevchenkivskyi,Артсвит / Artsvit,512202b4e4b0a44107f750a4,48.46073240924614,35.04697691580257,Art Gallery
175,Shevchenkivskyi,Bottle Bar,5974f984b9ac383dd3db3309,48.463958,35.05224,Beer Bar
176,Shevchenkivskyi,Люба Кава / Luba Kava,559bc832498e2b5571aa3406,48.458054144409545,35.05248763555939,Coffee Shop
177,Shevchenkivskyi,One Black Coffee Please,596117aa603d2a7c94bdf809,48.46529939249351,35.05746347130197,Coffee Shop
178,Shevchenkivskyi,Arizona Food Bar,5a01c2468d0a536c056b03d1,48.4620604453607,35.04253630706074,American Restaurant
179,Shevchenkivskyi,Парк Лазаря Глоби,4dd2badc227159fef251f6a1,48.469401095015996,35.031393834793924,Park
180,Shevchenkivskyi,Teddy / Тедди,4fd368d3e4b0b3abb347b924,48.458213555369966,35.05862940964591,Kids Store
181,Shevchenkivskyi,Butlers,50a52b60e4b07aa4bcaf4c8c,48.46669812462344,35.05064018380671,Furniture / Home Store
182,Shevchenkivskyi,The Place,57f8e321498e8e2795202873,48.46303006916368,35.046968048129415,Bar
183,Shevchenkivskyi,Ча Дао,53f71ee0498ecdca24da94c2,48.45948072157266,35.05538353220708,Tea Room
184,Shevchenkivskyi,Shepit,5c3dd2cafb8e59002c388c41,48.45773667874997,35.05447697307785,Coffee Shop
185,Shevchenkivskyi,Інклюзивний дитячий майданчик,5b311584f0b490002c51ac1c,48.466720461955404,35.03252188967911,Park
186,Shevchenkivskyi,Sport Life,4f255916e4b0eec7ff1516d9,48.47064070640847,35.02185104995534,Gym / Fitness Center
187,Shevchenkivskyi,Нос,58e2752ffef5fa7476df74e1,48.45583757788077,35.05050081197196,Coffee Shop
188,Shevchenkivskyi,Титан / Titan,5263fbf611d230d5ff888025,48.45647911865798,35.06004171642254,Gym / Fitness Center
189,Shevchenkivskyi,Buoni Fratelli,51f95f2c498e15311c4a4412,48.457747302112736,35.0573022097345,Italian Restaurant
190,Shevchenkivskyi,Dance Republic,55a7a750498e39b5deec0a05,48.47726445462828,35.024194527112606,Dance Studio
191,Shevchenkivskyi,Litera,5137b5c8e4b08fbb2ef9ef09,48.46214300537723,35.04241893329851,Hotel
192,Shevchenkivskyi,Sport Life,533f3431498e444a26a16d18,48.46749013874442,35.05714655648603,Gym / Fitness Center
193,Shevchenkivskyi,Академия Красоты И Здоровья,51c1cca0498e901b5b67b9df,48.46065996299996,35.026076235601685,Salon / Barbershop
194,Shevchenkivskyi,Culturist,5d90b54614e7a900086dec15,48.458355,35.05848,Coffee Shop
195,Shevchenkivskyi,Double Bar,59c14e6eb3c9610775b83591,48.4635999572607,35.05063842220119,Restaurant
196,Sobornyi,Взаперти,54688b00498e96205f65abe9,48.462246,35.05654,Arcade
197,Sobornyi,Blades,5662f50e38fa1e55a60e7e68,48.46063157074181,35.053945425219624,Salon / Barbershop
198,Sobornyi,TeaHouse,50c98aece4b020a11e3d4da0,48.464362477237856,35.05384291645843,Tea Room
199,Sobornyi,Художественная Мастерская Lilii Stepanovoy,54ce087f498ed2bdfc5b4dad,48.46639116069071,35.05502119828635,Art Gallery
200,Sobornyi,Репортер / Reporter,4c99d3c13bc3199cb32cad62,48.46202263136751,35.05147359146453,Eastern European Restaurant
201,Sobornyi,Паб «Три ноги»,53be997f498ef20ed96bfc7c,48.464022,35.05234,Gastropub
202,Sobornyi,Катеринославський бульвар / Katerynoslavsky boulevard (Катеринославський бульвар),4e205fa5ae6015b2129a5939,48.46090212251527,35.05015895197577,Pedestrian Plaza
203,Sobornyi,Мамой Клянусь,586fde7f52a051541b7ce0c8,48.46192321700763,35.06114481925938,Caucasian Restaurant
